Task,DistCategory,ParamName,ParamValue,Distribution,Policy,Mean,Mean_Std,CVaR10,CVaR10_Std,Min,Min_Std
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.1,Beta Distribution | Beta Scale=0.1,RSDR (β=-30),39.587148666381836,6.891118746244953,25.399618339538574,8.59560253184061,12.57599983215332,5.495065345987914
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.1,Beta Distribution | Beta Scale=0.1,RSDR (β=-20),37.47334632873535,6.596031620127744,21.53566722869873,5.5751698177897,8.947999954223633,2.946281715488439
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.1,Beta Distribution | Beta Scale=0.1,UDR,36.49711647033691,6.877944754822194,19.65006294250488,8.058961261170879,9.499999618530273,6.107909364588701
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.1,Beta Distribution | Beta Scale=0.1,RSDR (β=-10),33.040683364868165,8.181063351737897,21.21242027282715,7.668354166155809,9.855999875068665,5.562839525676136
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.1,Beta Distribution | Beta Scale=0.1,RSDR (β=-30),,0.0,,0.0,,0.0
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.1,Beta Distribution | Beta Scale=0.1,RSDR (β=-20),,0.0,,0.0,,0.0
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.1,Beta Distribution | Beta Scale=0.1,RSDR (β=-10),,0.0,,0.0,,0.0
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.2,Beta Distribution | Beta Scale=0.2,RSDR (β=-30),28.624775314331053,4.144758577334924,17.066690063476564,5.906728622042779,8.439999747276307,3.8209944887748057
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.2,Beta Distribution | Beta Scale=0.2,UDR,24.45496597290039,3.7932242681144364,10.726024055480957,2.3285619063203686,3.2959999322891234,1.4283640639718644
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.2,Beta Distribution | Beta Scale=0.2,RSDR (β=-20),22.48978271484375,6.347942922566365,10.766699028015136,4.96057084809825,3.547999954223633,2.720899823183724
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.2,Beta Distribution | Beta Scale=0.2,RSDR (β=-10),22.09535789489746,3.9469502983426983,12.319217109680176,3.163157314598049,4.695999789237976,1.7057267683052628
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.2,Beta Distribution | Beta Scale=0.2,RSDR (β=-20),,0.0,,0.0,,0.0
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.2,Beta Distribution | Beta Scale=0.2,RSDR (β=-10),,0.0,,0.0,,0.0
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.2,Beta Distribution | Beta Scale=0.2,RSDR (β=-30),,0.0,,0.0,,0.0
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.3,Beta Distribution | Beta Scale=0.3,RSDR (β=-30),24.524170684814454,2.824648586607767,13.504146766662597,4.852909991683653,4.075999867916107,1.9479793898218696
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.3,Beta Distribution | Beta Scale=0.3,UDR,19.637700080871582,2.622170107772886,8.374826049804687,1.2378243316424264,2.1999999284744263,0.6569018300073238
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.3,Beta Distribution | Beta Scale=0.3,RSDR (β=-10),18.576918029785155,2.3113017170100743,9.565232276916504,1.7476299312334551,3.28799991607666,0.8029544725065194
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.3,Beta Distribution | Beta Scale=0.3,RSDR (β=-20),17.420327377319335,5.91406569054525,7.866757774353028,4.590355741467483,2.2839999914169313,1.8756716304668404
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.3,Beta Distribution | Beta Scale=0.3,RSDR (β=-30),,0.0,,0.0,,0.0
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.3,Beta Distribution | Beta Scale=0.3,RSDR (β=-20),,0.0,,0.0,,0.0
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.3,Beta Distribution | Beta Scale=0.3,RSDR (β=-10),,0.0,,0.0,,0.0
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.4,Beta Distribution | Beta Scale=0.4,RSDR (β=-30),22.341236114501953,2.8475548115797658,11.289085197448731,3.896895913377044,2.9519999027252197,1.7796448235527391
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.4,Beta Distribution | Beta Scale=0.4,UDR,17.525370597839355,2.7967514156952924,7.449789810180664,1.9804504998598296,1.7799999952316283,0.45729640044917397
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.4,Beta Distribution | Beta Scale=0.4,RSDR (β=-10),16.62797145843506,2.364056453903114,7.806875228881836,1.8404256865053912,2.315999984741211,1.1283545795763752
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.4,Beta Distribution | Beta Scale=0.4,RSDR (β=-20),15.768664360046387,5.221063248624954,6.597398662567139,3.7082000445974312,1.2999999403953553,0.8053818521239243
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.4,Beta Distribution | Beta Scale=0.4,RSDR (β=-10),,0.0,,0.0,,0.0
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.4,Beta Distribution | Beta Scale=0.4,RSDR (β=-20),,0.0,,0.0,,0.0
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.4,Beta Distribution | Beta Scale=0.4,RSDR (β=-30),,0.0,,0.0,,0.0
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.5,Beta Distribution | Beta Scale=0.5,RSDR (β=-30),20.697947692871093,3.091745554965181,9.902365970611573,3.5510515870956096,3.047999965399504,2.2651304379966786
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.5,Beta Distribution | Beta Scale=0.5,UDR,16.415153312683106,2.9958183269764387,6.724567222595215,2.5158368562283853,0.9679999649524689,0.3825388724875961
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.5,Beta Distribution | Beta Scale=0.5,RSDR (β=-10),15.178940963745116,2.531308150804774,6.4773002624511715,1.7533877890996887,1.327999973297119,0.9070920331877409
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.5,Beta Distribution | Beta Scale=0.5,RSDR (β=-20),15.065412902832032,4.433542794984861,5.848420524597168,2.737765375594773,1.0119999542832374,1.1646526765170548
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.5,Beta Distribution | Beta Scale=0.5,RSDR (β=-10),,0.0,,0.0,,0.0
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.5,Beta Distribution | Beta Scale=0.5,RSDR (β=-30),,0.0,,0.0,,0.0
CartpoleSwingupSparse,Beta Distribution,Beta Scale,0.5,Beta Distribution | Beta Scale=0.5,RSDR (β=-20),,0.0,,0.0,,0.0
CartpoleSwingupSparse,Random Walk,Noise Scale,0.0,Random Walk | Noise Scale=0.0,RSDR (β=-10),836.7738159179687,14.312352530498467,754.64111328125,15.887043962463327,662.8119873046875,17.311218181240065
CartpoleSwingupSparse,Random Walk,Noise Scale,0.0,Random Walk | Noise Scale=0.0,UDR,836.5461181640625,18.491717317540136,743.3490234375,21.87503325506135,642.9119873046875,58.30439769019088
CartpoleSwingupSparse,Random Walk,Noise Scale,0.0,Random Walk | Noise Scale=0.0,RSDR (β=-30),835.9091796875,6.1938217279224554,746.0266723632812,6.161733622150313,689.4759765625,12.169029771924835
CartpoleSwingupSparse,Random Walk,Noise Scale,0.0,Random Walk | Noise Scale=0.0,RSDR (β=-20),832.90029296875,7.9367189594347245,740.4182006835938,18.371463912123847,667.3719848632812,20.67841422166402
CartpoleSwingupSparse,Random Walk,Noise Scale,0.0001,Random Walk | Noise Scale=0.0001,RSDR (β=-30),835.448291015625,5.857829904975584,745.2899291992187,5.903956126438659,685.0519775390625,8.948829943612486
CartpoleSwingupSparse,Random Walk,Noise Scale,0.0001,Random Walk | Noise Scale=0.0001,UDR,835.2690063476563,18.368385220300105,737.9012817382812,22.383819989589583,620.4599853515625,55.00386178559058
CartpoleSwingupSparse,Random Walk,Noise Scale,0.0001,Random Walk | Noise Scale=0.0001,RSDR (β=-10),833.69267578125,11.969509946075757,735.3920288085938,32.18424424679553,573.1479919433593,122.04459845498025
CartpoleSwingupSparse,Random Walk,Noise Scale,0.0001,Random Walk | Noise Scale=0.0001,RSDR (β=-20),831.6955322265625,7.0993013538774195,738.5109375,17.128172793388675,664.435986328125,23.604150643931764
CartpoleSwingupSparse,Random Walk,Noise Scale,0.0005,Random Walk | Noise Scale=0.0005,UDR,758.5154052734375,47.456078694764244,582.2533569335938,80.43943574867927,332.7519920349121,170.64930467710184
CartpoleSwingupSparse,Random Walk,Noise Scale,0.0005,Random Walk | Noise Scale=0.0005,RSDR (β=-20),756.1877563476562,81.32557038250233,609.61513671875,136.65764478871154,440.3679901123047,194.1564687470758
CartpoleSwingupSparse,Random Walk,Noise Scale,0.0005,Random Walk | Noise Scale=0.0005,RSDR (β=-10),755.8193237304688,74.10529131607852,609.2963928222656,118.9960803300181,386.4759887695312,152.85637410499294
CartpoleSwingupSparse,Random Walk,Noise Scale,0.0005,Random Walk | Noise Scale=0.0005,RSDR (β=-30),747.7368896484375,42.15702737987524,588.76875,67.36021944818795,306.9079956054687,26.64838450808332
CartpoleSwingupSparse,Random Walk,Noise Scale,0.001,Random Walk | Noise Scale=0.001,RSDR (β=-10),712.9424682617188,70.46901615150288,551.2218505859375,81.52654990475908,336.347998046875,71.1115371120989
CartpoleSwingupSparse,Random Walk,Noise Scale,0.001,Random Walk | Noise Scale=0.001,RSDR (β=-20),707.3517333984375,87.551854549978,546.5940612792969,124.10733779555464,357.05199737548827,148.19867515476648
CartpoleSwingupSparse,Random Walk,Noise Scale,0.001,Random Walk | Noise Scale=0.001,UDR,706.6418090820313,48.54879931393059,522.1959533691406,88.08610939515336,308.9399955749512,149.95365881341735
CartpoleSwingupSparse,Random Walk,Noise Scale,0.001,Random Walk | Noise Scale=0.001,RSDR (β=-30),669.2612426757812,46.913344848797564,479.21604614257814,45.61794121274666,257.97999267578126,48.41655997169005
CartpoleSwingupSparse,Random Walk,Noise Scale,0.002,Random Walk | Noise Scale=0.002,RSDR (β=-20),618.391943359375,50.671350773450165,429.36658935546876,48.9419595818962,166.84399871826173,79.87703056030468
CartpoleSwingupSparse,Random Walk,Noise Scale,0.002,Random Walk | Noise Scale=0.002,RSDR (β=-10),601.6444946289063,48.27647569515658,421.6955810546875,31.372876956929346,165.64399509429933,82.62119129029938
CartpoleSwingupSparse,Random Walk,Noise Scale,0.002,Random Walk | Noise Scale=0.002,UDR,595.602685546875,41.07551026201855,416.4937805175781,59.5256168466426,187.0959945678711,50.61318174617372
CartpoleSwingupSparse,Random Walk,Noise Scale,0.002,Random Walk | Noise Scale=0.002,RSDR (β=-30),589.9296752929688,19.950007728502563,399.0113952636719,22.710448034510005,189.9479949951172,45.488553223596774
CartpoleSwingupSparse,Random Walk,Noise Scale,0.005,Random Walk | Noise Scale=0.005,UDR,147.90975646972657,14.442045154729513,41.20012588500977,9.160969745736091,0.07599999904632568,0.15199999809265136
CartpoleSwingupSparse,Random Walk,Noise Scale,0.005,Random Walk | Noise Scale=0.005,RSDR (β=-20),147.34217681884766,18.37532740461663,38.92350120544434,6.327378374270416,0.29999999403953553,0.5513619410028405
CartpoleSwingupSparse,Random Walk,Noise Scale,0.005,Random Walk | Noise Scale=0.005,RSDR (β=-30),146.8307647705078,9.95849998763023,39.2618293762207,3.29687424081135,2.1479999899864195,2.230895765080426
CartpoleSwingupSparse,Random Walk,Noise Scale,0.005,Random Walk | Noise Scale=0.005,RSDR (β=-10),136.27664794921876,3.5558846790754792,34.730580520629886,5.250850591947093,0.8,1.6
WalkerWalk,Jump Diffusion (Drift=0.0),Jump Probability,0.01,Jump Diffusion (Drift=0.0) | Jump Probability=0.01,UDR,830.7493515014648,3.767175382474585,651.6878433227539,10.62375270568584,368.087947845459,30.724805936684284
WalkerWalk,Jump Diffusion (Drift=0.0),Jump Probability,0.01,Jump Diffusion (Drift=0.0) | Jump Probability=0.01,RSDR (β=-10),825.3385314941406,4.51186018573472,656.8986282348633,15.44796347125339,391.18278884887695,22.78859352934374
WalkerWalk,Jump Diffusion (Drift=0.0),Jump Probability,0.01,Jump Diffusion (Drift=0.0) | Jump Probability=0.01,RSDR (β=-20),804.4524688720703,7.239064440823077,637.8087539672852,15.108463544353858,394.1422233581543,34.49594778254943
WalkerWalk,Jump Diffusion (Drift=0.0),Jump Probability,0.01,Jump Diffusion (Drift=0.0) | Jump Probability=0.01,RSDR (β=-30),754.1142654418945,7.885485237791556,609.9671859741211,12.140312401139658,382.3158645629883,17.647952161963886
WalkerWalk,Jump Diffusion (Drift=0.0),Jump Probability,0.05,Jump Diffusion (Drift=0.0) | Jump Probability=0.05,UDR,858.8965911865234,5.656183814726357,754.8042984008789,15.03399869141271,540.2402877807617,36.81334223177991
WalkerWalk,Jump Diffusion (Drift=0.0),Jump Probability,0.05,Jump Diffusion (Drift=0.0) | Jump Probability=0.05,RSDR (β=-10),851.7098388671875,5.3622425729998975,749.2696304321289,15.936803355720592,537.8567771911621,34.04680177844439
WalkerWalk,Jump Diffusion (Drift=0.0),Jump Probability,0.05,Jump Diffusion (Drift=0.0) | Jump Probability=0.05,RSDR (β=-20),829.5989379882812,8.296835098635368,728.143913269043,17.014432692549917,501.92319107055664,36.115349984350914
WalkerWalk,Jump Diffusion (Drift=0.0),Jump Probability,0.05,Jump Diffusion (Drift=0.0) | Jump Probability=0.05,RSDR (β=-30),774.4065475463867,13.498197843326615,686.7183837890625,19.924470995614257,485.3178939819336,25.194867136791927
WalkerWalk,Jump Diffusion (Drift=0.0),Jump Probability,0.1,Jump Diffusion (Drift=0.0) | Jump Probability=0.1,UDR,885.1345977783203,3.9221104460915805,828.3972244262695,10.869130943420735,593.8075180053711,42.21533868581227
WalkerWalk,Jump Diffusion (Drift=0.0),Jump Probability,0.1,Jump Diffusion (Drift=0.0) | Jump Probability=0.1,RSDR (β=-10),877.9233474731445,3.786408359796231,824.217658996582,11.479998055245293,605.1565551757812,42.15123682551211
WalkerWalk,Jump Diffusion (Drift=0.0),Jump Probability,0.1,Jump Diffusion (Drift=0.0) | Jump Probability=0.1,RSDR (β=-20),857.4758453369141,6.670318453334814,803.5195999145508,14.255901812020968,571.6130104064941,44.68502340619533
WalkerWalk,Jump Diffusion (Drift=0.0),Jump Probability,0.1,Jump Diffusion (Drift=0.0) | Jump Probability=0.1,RSDR (β=-30),800.1512069702148,12.866489029180382,750.5698165893555,18.866786210199546,560.4545440673828,23.84476921671934
WalkerWalk,Jump Diffusion (Drift=0.0001),Jump Probability,0.01,Jump Diffusion (Drift=0.0001) | Jump Probability=0.01,UDR,830.7307510375977,3.794352274678241,651.6840515136719,10.78586372132214,365.77418518066406,32.48576323788991
WalkerWalk,Jump Diffusion (Drift=0.0001),Jump Probability,0.01,Jump Diffusion (Drift=0.0001) | Jump Probability=0.01,RSDR (β=-10),825.3319244384766,4.540702053313304,656.5706558227539,15.703007991166757,391.6476707458496,27.26154362525377
WalkerWalk,Jump Diffusion (Drift=0.0001),Jump Probability,0.01,Jump Diffusion (Drift=0.0001) | Jump Probability=0.01,RSDR (β=-20),804.4238128662109,7.273213887705087,637.9945831298828,15.252045336129314,393.5413589477539,34.9361214831451
WalkerWalk,Jump Diffusion (Drift=0.0001),Jump Probability,0.01,Jump Diffusion (Drift=0.0001) | Jump Probability=0.01,RSDR (β=-30),754.1047439575195,7.982633757610654,609.8853759765625,12.000931877587265,379.4091453552246,17.543615989194233
WalkerWalk,Jump Diffusion (Drift=0.0001),Jump Probability,0.05,Jump Diffusion (Drift=0.0001) | Jump Probability=0.05,UDR,858.9219589233398,5.628098767373527,754.9883041381836,15.066849741434691,545.648624420166,34.949818039747555
WalkerWalk,Jump Diffusion (Drift=0.0001),Jump Probability,0.05,Jump Diffusion (Drift=0.0001) | Jump Probability=0.05,RSDR (β=-10),851.6645736694336,5.317195435572003,749.2176055908203,15.807233685311553,530.2582817077637,35.0295523366346
WalkerWalk,Jump Diffusion (Drift=0.0001),Jump Probability,0.05,Jump Diffusion (Drift=0.0001) | Jump Probability=0.05,RSDR (β=-20),829.6053237915039,8.283959308620515,728.3716049194336,16.71082408175521,511.57602310180664,33.129698646603615
WalkerWalk,Jump Diffusion (Drift=0.0001),Jump Probability,0.05,Jump Diffusion (Drift=0.0001) | Jump Probability=0.05,RSDR (β=-30),774.4136352539062,13.588853641034474,686.7690505981445,19.746165883337135,490.1372489929199,20.055409414440884
WalkerWalk,Jump Diffusion (Drift=0.0001),Jump Probability,0.1,Jump Diffusion (Drift=0.0001) | Jump Probability=0.1,UDR,885.1290740966797,3.8976643481935547,828.2637405395508,10.94597149061804,594.3123779296875,32.156897621577315
WalkerWalk,Jump Diffusion (Drift=0.0001),Jump Probability,0.1,Jump Diffusion (Drift=0.0001) | Jump Probability=0.1,RSDR (β=-10),877.9341201782227,3.750249461471717,824.1868896484375,11.477720554180747,607.1094665527344,41.83392447407845
