Task,DistCategory,ParamName,ParamValue,Distribution,Policy,Mean,Mean_Std,CVaR10,CVaR10_Std,Min,Min_Std
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.0,Langevin (Noise=0.0) | Gradient Scale=0.0,RSDR (β=-30),584.076171875,31.45848661319109,400.19434029715404,44.99211576476864,21.038612365722656,7.993097673208736
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.0,Langevin (Noise=0.0) | Gradient Scale=0.0,RSDR (β=-20),562.8304782443577,32.6849096643195,390.49495103624133,18.94718521301467,18.055924521552193,7.393126213475531
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.0,Langevin (Noise=0.0) | Gradient Scale=0.0,RSDR (β=-10),546.9877471923828,37.652742602917364,368.5782979329427,18.29711395005592,27.66703764597575,9.319021328685684
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.0,Langevin (Noise=0.0) | Gradient Scale=0.0,UDR,534.493665907118,32.12022711837154,303.7822570800781,54.27291361031355,18.870950116051567,10.362688478310243
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.01,Langevin (Noise=0.0) | Gradient Scale=0.01,RSDR (β=-30),480.932852608817,32.256291156271,144.70229557582311,27.858839357472448,13.65750959941319,5.718624966075679
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.01,Langevin (Noise=0.0) | Gradient Scale=0.01,RSDR (β=-20),473.14709133572046,22.241048649201254,153.88774617513022,42.34498826237704,13.111786630418566,3.6309111824350513
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.01,Langevin (Noise=0.0) | Gradient Scale=0.01,RSDR (β=-10),427.1149088541667,32.17871004551918,133.30334345499674,32.09289627190862,18.26659361521403,10.192259806327796
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.01,Langevin (Noise=0.0) | Gradient Scale=0.01,UDR,373.63471137152777,28.90249526262021,80.21156268649631,16.38964650089768,12.309547954135471,8.526100128483783
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.05,Langevin (Noise=0.0) | Gradient Scale=0.05,RSDR (β=-30),506.1585257393973,40.36970907130736,199.07732282366072,44.81467217248375,11.551638943808419,4.438702832470611
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.05,Langevin (Noise=0.0) | Gradient Scale=0.05,RSDR (β=-20),493.397216796875,25.5766427007283,185.58834160698785,33.105147520214054,13.735337045457628,7.709723890908975
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.05,Langevin (Noise=0.0) | Gradient Scale=0.05,RSDR (β=-10),442.4655049641927,38.626975677333824,157.0296630859375,24.869131011545537,19.48473358154297,8.782598596251416
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.05,Langevin (Noise=0.0) | Gradient Scale=0.05,UDR,385.34473673502606,30.880265035638605,86.29992251925998,19.497188042794114,13.600128067864311,7.278754984413475
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.1,Langevin (Noise=0.0) | Gradient Scale=0.1,RSDR (β=-30),502.1405247279576,41.209001080497195,195.13096400669642,43.06166753207396,13.092728342328753,5.511340633219347
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.1,Langevin (Noise=0.0) | Gradient Scale=0.1,RSDR (β=-20),491.80140177408856,26.566923073226185,185.25579833984375,34.85515234729096,13.02587080001831,6.20748752289589
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.1,Langevin (Noise=0.0) | Gradient Scale=0.1,RSDR (β=-10),441.4866027832031,38.71515188356189,159.02785873413086,21.924280662304287,19.067885875701904,8.425606159674379
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.1,Langevin (Noise=0.0) | Gradient Scale=0.1,UDR,386.3642578125,30.538051044085435,86.50125037299262,18.73376107502907,13.730754640367296,6.657726221393068
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.5,Langevin (Noise=0.0) | Gradient Scale=0.5,RSDR (β=-30),498.54260689871654,41.368680861633344,191.87294442313058,41.63200980757803,12.95438003540039,4.695231973112188
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.5,Langevin (Noise=0.0) | Gradient Scale=0.5,RSDR (β=-20),488.17280748155383,27.366555911063287,183.05380249023438,34.563847896569875,13.155740737915039,4.242123702716462
AcrobotSwingup,Langevin (Noise=0.0),Gradient Scale,0.5,Langevin (Noise=0.0) | Gradient Scale=0.5,RSDR (β=-10),438.1064453125,40.118832700456664,155.67300669352213,21.266002570730894,17.798094987869263,9.75305875030805
