group,metric,value
gbs,lambda,-28.691359709742436
gbs,sample_mean,0.09461171180009842
gbs,sample_std,0.15199077129364014
gbs,sample_min,3.5762786865234375e-06
gbs,sample_max,0.9969620108604431
gbs,forward_kl,0.21831344275182063
gbs,reverse_kl,0.8613429027358637
gbs,wasserstein_to_target,0.06040430983687583
gbs,sinkhorn_to_target,1.0382658243179321
gbs,ess,1.1999443769454956
gbs,energy_w2,0.028025027364492416
gbs,target_mean,0.03485369846903781
gbs,optimal_p_tau_0.10,6.43272420982485e-05
gmmvi,lambda,-37.75011240954046
gmmvi,sample_mean,0.5030686855316162
gmmvi,sample_std,0.49901580810546875
gmmvi,sample_min,0.0
gmmvi,sample_max,1.0
gmmvi,forward_kl,4.0083460256583505
gmmvi,reverse_kl,9.188948083932283
gmmvi,wasserstein_to_target,0.4844052365861647
gmmvi,sinkhorn_to_target,4.823487281799316
gmmvi,ess,1.0624185800552368
gmmvi,energy_w2,0.45508578419685364
gmmvi,target_mean,0.02648998734497203
gmmvi,optimal_p_tau_0.10,5.916624913886021e-05
pairwise,mean_gap,0.4084569811820984
pairwise,std_gap,0.3470250368118286
pairwise,l1_sorted_flat,0.41887691617012024
pairwise,rmse_sorted_flat,0.5963284373283386
pairwise,sinkhorn_gbs_vs_gmmvi,4.41067361831665
